"data","Somalia","jowhar","lughaye","zeylac","bossaso","dharkenley","daynile","gaalkacyo","hodan","belet_weyne","hawl_wadaag","kahda","marka","caynabo","laas_caanood","xudun","laasqoray","baki","borama","berbera","gebiley","hargeysa","owdweyne","xamar_weyne","garowe","cabdlcasiis","boondheere","karaan","shibis","shangaani","waaberi","wadajir","wardhiigleey","xamar_jabjab","yaaqshiid","afgooye","baidoa","diinsoor","baardheere","belet_xaawo","ceel_waaq","doolow","luuq","garbahaarey","afmadow","kismayo","burco","buuhoodle","sheikh","ceel_afweyn","ceerigaabo","qardho","burtinle","galdogob","hobyo","dhuusamarreeb","cabudwaaq","cadaado","wanla_weyn","xudur","ceel_barde","waajid"
"Parents don't approve of curriculum","3","3","5","0","0","4","1","0","1","0","0","3","0","0","0","0","7","0","10","0","0","0","0","0","0","6","0","0","0","0","8","5","9","0","0","3","3","17","0","12","0","0","0","25","22","4","7","0","0","0","11","0","0","0","33","0","0","0","17","0","0","17"
"Cultural beliefs","2","1","0","0","0","0","1","0","3","0","0","1","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","17","0","9","0","0","0","2","0","25","38","67","0","0","50","39","6","7","0","0","0","22","0","0","0","0","0","12","20","0","0","0","0"
"Children psychologically distressed","4","3","0","0","6","0","3","2","3","8","5","2","0","0","0","0","7","0","20","0","0","0","6","14","4","0","0","0","0","0","17","5","9","0","0","1","5","0","0","0","0","0","0","0","6","2","13","0","0","25","11","0","0","20","0","0","25","40","17","0","25","0"
"Displacement due to conflict","4","7","0","0","0","0","5","5","0","1","5","2","0","0","6","0","0","50","0","0","0","16","6","0","4","0","25","0","0","14","0","5","9","33","0","1","4","8","0","12","67","0","0","0","0","2","20","0","0","0","11","8","0","0","0","0","12","40","0","0","0","0"
"Children lack documentation needed to register","3","0","32","0","8","4","4","3","1","4","10","1","0","12","0","22","0","0","0","0","0","4","17","0","0","0","0","0","0","0","0","5","0","33","0","0","2","0","0","0","0","50","8","0","17","2","0","38","0","0","44","0","0","0","0","0","12","20","0","0","0","0"
"Flooding / weather events","1","3","0","20","4","0","1","1","1","5","0","0","0","0","0","0","0","25","0","0","0","8","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","7","6","0","0","0","0","25","0","0","20","0","0","0","0","0","0"
"Children join/recruited by armed groups","1","0","0","0","0","0","2","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","17","2","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marriage and/or pregnancy","2","1","0","0","2","0","1","2","0","1","0","1","0","25","0","0","0","38","0","0","0","0","6","0","0","0","0","0","0","0","0","5","0","0","0","0","1","8","0","62","33","0","0","50","22","4","13","6","0","0","0","0","0","0","0","0","12","0","0","0","0","0"
"Language issues","1","0","0","0","0","0","1","0","0","2","0","1","0","0","33","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","6","0","0","0","0","0","0","0","0","0","0","17","0","0","0"
"Poor school infrastructure/facilities","9","1","79","0","8","4","6","10","0","2","0","3","0","25","72","11","73","0","0","0","25","4","17","14","11","6","0","0","0","0","0","5","0","0","0","0","11","17","0","0","67","0","38","25","6","10","33","19","0","12","0","0","0","40","33","20","38","0","17","44","0","0"
"Lack of qualified teaching staff","9","3","47","0","8","4","5","7","4","3","0","4","0","25","56","22","20","25","0","20","0","4","17","0","30","11","0","0","0","0","0","16","18","0","0","0","10","58","0","12","0","100","31","25","22","9","27","19","0","12","44","0","25","0","33","0","25","0","0","56","0","50"
"Insufficient WASH facilities in schools","6","1","26","0","0","11","7","2","9","4","0","2","0","25","6","11","60","0","0","30","0","12","22","14","4","6","0","0","0","0","0","37","0","0","17","0","4","25","0","0","0","50","0","0","6","3","13","6","0","0","11","0","0","0","0","0","0","0","0","22","0","50"
"Lack of male / female separation","5","1","5","0","2","4","9","1","4","4","0","11","0","12","0","0","20","0","0","0","0","0","0","0","4","6","0","0","0","0","0","5","9","0","0","5","5","0","0","0","0","50","0","0","0","3","0","0","12","0","0","0","0","0","33","0","0","0","0","0","0","0"
"Other","3","0","5","0","0","22","7","0","0","0","0","1","0","25","17","22","7","0","30","40","0","0","11","0","4","0","0","0","0","0","0","0","9","0","0","1","1","0","25","12","0","0","38","0","0","2","27","6","0","0","0","17","0","0","0","0","38","0","0","11","0","0"
"Do not know","15","51","11","0","6","33","20","0","22","38","52","21","14","12","0","0","0","12","0","10","0","16","6","0","33","11","0","0","25","29","25","5","18","0","17","14","9","8","0","12","0","0","0","0","0","4","0","0","0","25","11","83","0","0","0","0","12","0","0","0","0","0"
"What are the top three barriers, if any, that girls in the settlement face to accessing education?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No problem","34","38","47","60","19","63","30","32","31","30","33","35","29","25","17","56","20","75","40","50","75","44","39","14","70","28","25","0","75","71","67","21","27","33","17","44","30","0","50","12","33","0","23","50","6","49","47","25","88","12","11","83","75","20","0","0","25","40","50","56","100","0"
"Schools closed (for any reason)","21","25","0","0","33","37","24","11","26","7","10","20","0","0","6","33","13","0","0","10","0","0","11","57","52","0","50","0","50","71","25","21","18","100","50","3","29","0","25","0","0","0","8","25","39","18","20","25","12","0","22","8","0","20","33","10","0","0","17","11","0","50"
"Schools overcrowded","22","13","16","20","27","4","19","26","31","17","14","24","0","12","22","0","67","0","0","40","0","20","39","14","15","0","25","50","25","57","33","37","27","0","0","1","22","33","0","50","0","50","8","0","22","36","27","25","12","0","56","8","0","0","67","10","25","40","0","0","0","33"
"Security concerns of child travelling or being at school","34","28","32","0","73","41","54","40","27","28","29","38","0","12","0","22","7","12","10","0","0","20","22","43","11","11","75","50","0","14","42","37","73","33","17","11","32","25","0","25","67","0","0","25","22","16","60","6","0","12","56","8","25","60","33","100","12","40","17","0","0","0"
"The treatment center is too far away/Transportation constraints","62","49","21","20","90","52","74","59","41","84","43","56","86","38","6","22","47","62","60","10","0","64","17","71","26","11","75","50","0","29","42","74","73","67","100","57","76","100","50","25","33","50","46","50","67","51","60","25","0","62","56","33","50","60","100","100","50","60","17","0","25","100"
"School fees and/or cost of materials","66","48","84","60","100","67","72","65","69","79","71","58","29","88","72","67","80","88","80","40","75","76","67","43","26","56","50","50","25","57","42","79","91","100","100","77","68","83","25","12","0","0","38","75","33","65","73","75","0","62","100","17","50","80","100","100","88","60","50","56","50","50"
"Child helping at home / farm","32","25","11","40","25","19","32","45","23","40","29","17","43","75","22","11","40","0","60","0","0","0","33","0","11","17","25","50","25","14","17","63","18","100","17","24","43","58","0","25","33","50","46","100","11","49","27","0","12","100","89","0","0","100","67","0","75","20","0","0","0","17"
"Child working outside home","28","17","21","40","40","22","32","38","23","18","43","22","29","50","0","11","0","38","10","0","0","8","17","29","19","17","0","0","0","14","17","47","18","67","17","15","30","0","0","62","0","50","8","50","28","49","47","0","25","0","33","0","25","100","67","10","38","0","17","0","0","17"
"Parents unaware of education opportunities available","20","22","11","40","10","7","21","10","9","12","33","18","29","12","0","11","0","38","0","10","0","16","6","0","7","11","0","0","25","29","25","21","27","67","0","19","28","92","0","38","67","0","8","50","28","18","20","0","25","0","44","17","0","20","67","20","0","80","17","0","0","0"
"Parents don't value education","18","23","21","20","17","4","13","18","8","14","5","12","29","12","11","11","27","12","0","0","0","16","22","14","19","6","0","0","50","14","0","16","36","33","17","14","21","92","0","38","67","0","23","75","50","26","47","0","38","0","56","8","0","40","67","0","12","20","17","0","0","0"
"Parents don't approve of curriculum","4","0","11","0","0","4","4","0","1","2","0","9","0","0","0","0","7","25","0","0","0","4","0","0","0","0","0","0","25","0","0","0","0","33","0","1","4","33","0","0","0","0","0","25","22","6","13","0","0","0","11","0","0","0","0","0","0","0","0","0","0","17"
"Cultural beliefs","5","9","0","0","4","0","3","3","3","3","0","2","0","0","0","0","0","0","10","0","0","0","11","0","11","0","25","0","25","0","8","0","0","0","0","0","4","8","0","25","67","0","8","50","50","16","60","0","50","12","22","0","0","20","0","0","50","0","0","0","0","0"
"Children psychologically distressed","3","3","0","0","0","0","3","1","1","5","0","3","0","0","0","0","0","0","10","0","0","0","0","0","0","6","0","0","0","29","0","5","0","0","0","0","4","0","0","0","0","50","0","50","22","2","7","0","0","38","0","0","0","0","0","10","12","20","0","0","0","17"
"Displacement due to conflict","4","7","0","0","2","4","5","1","3","0","0","6","0","0","6","0","0","25","10","0","0","20","6","0","4","0","0","0","0","29","8","5","9","0","17","1","4","0","0","0","33","0","0","25","17","1","0","12","0","0","11","0","0","0","0","0","0","20","0","0","0","0"
"Children lack documentation needed to register","3","1","32","0","2","0","2","2","1","1","5","1","0","12","0","22","0","0","0","0","0","0","11","0","4","0","0","0","0","14","8","0","0","33","0","0","3","0","0","0","0","50","0","0","22","1","7","38","12","0","0","17","0","0","33","0","12","0","0","0","0","0"
"Flooding / weather events","2","4","0","0","0","0","0","0","0","4","5","0","0","0","0","0","0","25","0","0","0","8","0","0","4","0","0","0","0","0","0","0","9","0","0","0","3","0","0","0","0","50","0","0","0","1","7","6","0","0","0","0","0","0","0","0","0","20","0","0","25","0"
"Children join/recruited by armed groups","1","0","0","0","0","0","1","0","1","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","0","9","0","0","0","2","0","0","0","0","0","0","0","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marriage and/or pregnancy","14","4","32","40","31","0","8","48","0","2","0","3","0","75","61","11","20","75","30","0","0","0","39","29","11","0","0","0","25","14","8","16","18","0","0","1","14","92","0","62","33","100","38","50","33","19","13","62","0","12","89","0","0","0","0","70","75","60","17","22","0","33"
"Language issues","1","1","0","0","0","4","0","0","0","1","0","1","0","0","28","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","18","0","0","1","2","0","0","0","0","0","0","0","0","2","0","6","0","0","0","8","0","0","33","0","0","0","17","0","0","0"
"Poor school infrastructure/facilities","8","4","79","0","10","4","3","5","1","1","0","2","0","25","67","11","73","0","0","30","25","4","33","0","7","0","0","0","0","14","0","16","18","67","0","0","11","8","0","0","67","0","0","25","0","8","40","19","0","0","11","0","0","0","33","40","12","0","0","44","25","33"
"Lack of qualified teaching staff","8","10","47","0","4","7","3","2","4","3","10","5","0","0","33","22","27","12","0","10","0","0","17","0","22","0","0","0","0","0","0","16","0","33","0","4","10","25","0","12","33","100","8","50","28","9","20","25","12","0","56","0","0","0","33","10","12","0","0","56","25","0"
"Insufficient WASH facilities in schools","6","3","26","0","2","4","7","1","9","1","0","2","0","38","28","11","80","0","10","20","0","0","22","0","0","11","0","0","0","0","0","58","0","0","17","0","5","8","0","0","0","50","0","0","0","5","20","0","0","0","0","0","0","0","0","0","12","0","0","22","0","17"
"Lack of male / female separation","4","3","5","0","4","7","6","0","0","2","5","7","0","0","0","0","0","0","0","0","0","0","0","0","4","6","0","0","0","29","0","5","0","0","0","1","4","0","0","25","100","0","0","0","0","9","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Other","3","0","5","0","2","22","6","1","0","3","0","1","0","12","17","22","7","0","30","10","0","0","11","0","0","0","0","0","0","0","0","0","9","0","0","0","1","0","25","12","0","0","31","0","0","2","20","6","0","0","0","42","0","0","0","0","25","0","0","11","0","0"
"Do not know","16","46","11","0","4","41","19","0","23","45","52","22","14","12","0","0","0","12","0","10","0","16","6","14","19","11","0","0","50","29","25","5","36","0","0","11","9","8","0","12","0","0","0","0","0","4","0","6","0","25","0","92","50","0","0","0","12","0","0","0","0","17"
"What is the primary source of food for most residents in this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Market purchases","62.21","39.13","15.79","60","50","62.96","60.97","100","69.01","59.78","47.62","64.64","28.57","37.5","94.44","22.22","26.67","12.5","40","90","75","92","66.67","57.14","88.89","100","50","50","0","42.86","83.33","73.68","54.55","0","83.33","48.1","65.37","0","100","50","100","50","61.54","25","0","75.27","6.67","6.25","50","37.5","55.56","58.33","100","100","33.33","10","50","20","33.33","100","100","0"
"NC","16.53","17.39","63.16","40","31.25","11.11","16.4","0","8.45","11.96","19.05","15.36","42.86","37.5","0","11.11","13.33","62.5","20","10","25","4","22.22","14.29","11.11","0","25","0","75","0","8.33","15.79","9.09","100","16.67","24.05","19.35","33.33","0","12.5","0","0","30.77","0","11.11","3.3","13.33","56.25","0","37.5","22.22","33.33","0","0","0","40","50","80","50","0","0","16.67"
"Household production","10.55","17.39","0","0","18.75","25.93","16.4","0","18.31","16.3","23.81","15.94","14.29","12.5","0","11.11","0","0","20","0","0","4","11.11","0","0","0","0","0","0","0","0","10.53","0","0","0","11.39","5.94","0","0","0","0","0","0","75","0","3.3","20","37.5","0","0","0","0","0","0","0","50","0","0","16.67","0","0","0"
"Food assistance from NGO aid","3.27","17.39","0","0","0","0","1.62","0","0","0","0","0","0","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.33","0","0","0","0","0","5.6","0","0","0","0","50","0","0","22.22","7.69","46.67","0","0","0","22.22","0","0","0","0","0","0","0","0","0","0","0"
"Borrowing/Debts","2.07","4.35","15.79","0","0","0","1.15","0","2.82","4.35","0","0.29","14.29","0","5.56","0","6.67","0","0","0","0","0","0","28.57","0","0","0","50","0","0","0","0","27.27","0","0","0","1.53","66.67","0","12.5","0","0","7.69","0","5.56","1.1","0","0","12.5","0","0","0","0","0","0","0","0","0","0","0","0","33.33"
"Trade for labour","2.03","1.45","0","0","0","0","2.08","0","0","3.26","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","25","0","25","42.86","0","0","9.09","0","0","1.27","1.7","0","0","25","0","0","0","0","5.56","8.24","0","0","0","12.5","0","0","0","0","0","0","0","0","0","0","0","0"
"Own livestock","1.31","0","5.26","0","0","0","0.23","0","1.41","0","0","0.87","0","0","0","55.56","33.33","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.56","0","6.67","0","37.5","12.5","0","0","0","0","0","0","0","0","0","0","0","0"
"Gifts from family / friends / neighbors","0.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.92","0.51","0","0","0","0","0","0","0","0","0.55","6.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"Fishing / Foraging / Hunting","0.72","2.9","0","0","0","0","0.69","0","0","0","0","2.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.29","0","0","0","0","0","1.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.67","0","0","0","0","0","0","0"
"Other","0.44","0","0","0","0","0","0.23","0","0","4.35","4.76","0.29","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.33","0","0","0","0","0","0","0","0","0","0"
"Food assistance from government aid","0.12","0","0","0","0","0","0.23","0","0","0","4.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"What is the secondary source of food for most residents in this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NC","27.84","24.64","63.16","40","35.42","11.11","28.74","15.91","17.57","20.65","19.05","19.65","28.57","37.5","16.67","44.44","13.33","37.5","10","10","0","16","44.44","28.57","29.63","0","25","0","25","57.14","50","42.11","63.64","0","16.67","22.78","35.31","41.67","0","25","66.67","100","38.46","0","0","21.43","60","25","25","12.5","44.44","83.33","75","80","33.33","50","50","100","33.33","0","25","33.33"
"Household production","17.83","34.78","0","20","0","22.22","15.86","0","12.16","38.04","23.81","28.32","42.86","0","0","11.11","6.67","37.5","10","10","75","8","11.11","0","51.85","33.33","25","50","25","28.57","41.67","0","9.09","33.33","0","10.13","14.43","0","0","12.5","0","0","15.38","0","5.56","26.37","6.67","6.25","0","12.5","0","0","0","0","0","0","0","0","50","0","50","0"
"Borrowing/Debts","13.15","2.9","0","40","27.08","11.11","14.02","65.91","1.35","8.7","28.57","10.4","0","62.5","0","11.11","40","0","10","80","0","12","22.22","28.57","7.41","5.56","25","0","0","0","0","36.84","0","0","33.33","2.53","10.87","25","0","37.5","33.33","0","30.77","25","0","7.69","0","6.25","25","0","11.11","0","0","0","0","0","0","0","16.67","0","0","16.67"
"None","12.47","8.7","0","0","0","14.81","20","4.55","52.7","6.52","4.76","16.18","14.29","0","72.22","22.22","0","0","30","0","0","48","0","0","7.41","55.56","0","0","0","0","8.33","10.53","18.18","0","0","31.65","4.41","0","25","0","0","0","7.69","0","0","2.75","13.33","0","0","12.5","0","8.33","0","0","33.33","0","0","0","0","0","0","0"
"Market purchases","10.52","15.94","26.32","0","25","29.63","10.57","0","6.76","13.04","23.81","15.9","14.29","0","5.56","0","0","12.5","0","0","25","4","0","0","0","0","0","0","50","14.29","0","10.53","9.09","33.33","0","7.59","7.98","0","0","0","0","0","7.69","50","38.89","12.09","0","18.75","0","0","0","0","0","0","33.33","50","0","0","0","0","0","0"
"Gifts from family / friends / neighbors","5.6","0","0","0","0","11.11","5.75","2.27","6.76","1.09","0","1.45","0","0","0","0","6.67","0","30","0","0","0","5.56","14.29","0","5.56","25","50","0","0","0","0","0","0","33.33","8.86","9.68","8.33","0","0","0","0","0","0","27.78","0","20","12.5","0","0","0","0","0","20","0","0","25","0","0","100","0","33.33"
"Food assistance from NGO aid","5.52","1.45","10.53","0","10.42","0","0.46","11.36","0","6.52","0","0","0","0","5.56","11.11","20","0","0","0","0","4","5.56","0","3.7","0","0","0","0","0","0","0","0","0","16.67","0","9","25","75","0","0","0","0","25","27.78","10.44","0","31.25","25","62.5","44.44","8.33","25","0","0","0","25","0","0","0","0","0"
"Trade for labour","4.01","0","0","0","0","0","1.15","0","1.35","1.09","0","4.62","0","0","0","0","0","0","0","0","0","8","0","14.29","0","0","0","0","0","0","0","0","0","33.33","0","5.06","6.11","0","0","25","0","0","0","0","0","17.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Own livestock","1.07","1.45","0","0","0","0","1.15","0","0","0","0","2.89","0","0","0","0","6.67","12.5","10","0","0","0","11.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0.51","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","25","0"
"Fishing / Foraging / Hunting","0.99","10.14","0","0","2.08","0","0.23","0","0","1.09","0","0.58","0","0","0","0","6.67","0","0","0","0","0","0","14.29","0","0","0","0","0","0","0","0","0","0","0","11.39","0","0","0","0","0","0","0","0","0","1.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Food assistance from government aid","0.75","0","0","0","0","0","1.61","0","1.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.53","0","0","0","0","0","0","0","0","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.67"
"Other","0.24","0","0","0","0","0","0.46","0","0","3.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Is there land available to residents in this site for raising livestock?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No","61.87","72.46","5.26","20","54.17","77.78","81.84","34.09","100","39.13","100","85.84","28.57","0","0","0","20","0","30","10","100","56","11.11","100","74.07","100","100","100","25","85.71","100","94.74","100","33.33","100","36.71","47.88","16.67","0","50","0","100","46.15","0","22.22","85.71","0","0","0","0","33.33","50","0","0","0","0","0","60","100","77.78","0","0"
"Yes","38.13","27.54","94.74","80","45.83","22.22","18.16","65.91","0","60.87","0","14.16","71.43","100","100","100","80","100","70","90","0","44","88.89","0","25.93","0","0","0","75","14.29","0","5.26","0","66.67","0","63.29","52.12","83.33","100","50","100","0","53.85","100","77.78","14.29","100","100","100","100","66.67","50","100","100","100","100","100","40","0","22.22","100","100"
"Is there land available to residents in this site for agriculture / cultivation purposes?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No","67.32","68.12","5.26","60","68.75","92.59","86.9","63.64","98.65","40.22","100","88.44","85.71","12.5","0","11.11","20","12.5","40","40","100","76","11.11","85.71","96.3","100","100","100","75","85.71","91.67","89.47","100","66.67","83.33","51.9","48.9","0","75","50","66.67","100","53.85","25","55.56","83.52","20","0","0","0","33.33","75","0","100","100","80","25","40","83.33","100","0","0"
"Yes","32.68","31.88","94.74","40","31.25","7.41","13.1","36.36","1.35","59.78","0","11.56","14.29","87.5","100","88.89","80","87.5","60","60","0","24","88.89","14.29","3.7","0","0","0","25","14.29","8.33","10.53","0","33.33","16.67","48.1","51.1","100","25","50","33.33","0","46.15","75","44.44","16.48","80","100","100","100","66.67","25","100","0","0","20","75","60","16.67","0","100","100"
"What is the proportion of residents involved in small scale crop production?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"None","61.26","20.29","57.89","60","79.17","66.67","78.39","81.82","93.24","40.22","80.95","58.67","85.71","37.5","50","66.67","80","37.5","40","60","100","88","52.94","42.86","85.19","100","50","50","75","71.43","75","84.21","100","66.67","83.33","34.18","51.1","0","25","12.5","66.67","50","53.85","0","44.44","58.24","73.33","75","12.5","87.5","77.78","75","100","100","0","80","62.5","80","16.67","100","0","0"
"A few (1-25%)","21.14","69.57","15.79","40","6.25","11.11","8.97","6.82","0","42.39","4.76","28.32","0","37.5","38.89","33.33","6.67","25","30","10","0","8","23.53","57.14","3.7","0","25","0","0","0","8.33","10.53","0","0","16.67","32.91","25.13","58.33","25","87.5","33.33","50","0","75","16.67","18.68","20","0","62.5","12.5","0","0","0","0","100","0","12.5","0","50","0","100","50"
"NC","14.06","5.8","26.32","0","14.58","11.11","10.34","11.36","5.41","11.96","14.29","9.83","14.29","25","11.11","0","13.33","0","20","20","0","4","23.53","0","11.11","0","25","0","25","28.57","16.67","5.26","0","0","0","25.32","21.9","41.67","50","0","0","0","46.15","0","11.11","10.44","6.67","25","12.5","0","22.22","25","0","0","0","20","25","20","33.33","0","0","16.67"
"Some (26-50%)","2.9","4.35","0","0","0","11.11","2.07","0","0","5.43","0","3.18","0","0","0","0","0","25","0","10","0","0","0","0","0","0","0","50","0","0","0","0","0","33.33","0","3.8","1.36","0","0","0","0","0","0","25","27.78","9.34","0","0","12.5","0","0","0","0","0","0","0","0","0","0","0","0","33.33"
"Many (51-75%)","0.6","0","0","0","0","0","0.23","0","1.35","0","0","0","0","0","0","0","0","12.5","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8","0.51","0","0","0","0","0","0","0","0","2.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All or almost all (76-100%)","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"What is the proportion of residents involved in animal husbandry / livestock rearing?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"None","58.72","21.74","5.26","0","75","81.48","77.65","37.5","94.59","44.57","80.95","59.54","85.71","25","0","0","26.67","0","60","10","75","64","16.67","42.86","88.89","100","50","50","25","85.71","75","89.47","100","66.67","83.33","44.3","61.97","8.33","75","0","33.33","50","46.15","0","38.89","60.99","6.67","6.25","0","0","66.67","75","50","0","0","0","25","20","16.67","77.78","0","0"
"A few (1-25%)","21.89","62.32","42.11","20","6.25","3.7","9.22","30.68","0","39.13","0","28.03","14.29","37.5","77.78","11.11","6.67","25","40","10","0","24","72.22","42.86","3.7","0","25","0","50","14.29","8.33","10.53","0","0","16.67","18.99","20.2","58.33","0","100","33.33","50","23.08","25","33.33","20.33","46.67","50","0","0","22.22","0","25","40","66.67","20","50","0","50","22.22","50","66.67"
"NC","14.42","10.14","26.32","40","18.75","11.11","11.29","17.05","4.05","11.96","19.05","10.4","0","37.5","22.22","22.22","40","12.5","0","30","25","12","0","14.29","7.41","0","25","0","25","0","16.67","0","0","0","0","27.85","17.15","33.33","25","0","33.33","0","30.77","50","16.67","8.79","6.67","25","75","37.5","11.11","25","25","60","33.33","40","0","80","33.33","0","25","16.67"
"Some (26-50%)","3.97","5.8","5.26","40","0","3.7","1.61","13.64","0","3.26","0","1.73","0","0","0","22.22","20","25","0","30","0","0","11.11","0","0","0","0","0","0","0","0","0","0","0","0","7.59","0.68","0","0","0","0","0","0","25","11.11","9.34","33.33","18.75","25","50","0","0","0","0","0","40","25","0","0","0","25","16.67"
"Many (51-75%)","0.75","0","21.05","0","0","0","0.23","1.14","1.35","1.09","0","0.29","0","0","0","0","6.67","37.5","0","10","0","0","0","0","0","0","0","50","0","0","0","0","0","33.33","0","1.27","0","0","0","0","0","0","0","0","0","0","6.67","0","0","12.5","0","0","0","0","0","0","0","0","0","0","0","0"
"All or almost all (76-100%)","0.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44.44","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"More fishing than normal for this time of year","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"None","75.65","13.04","84.21","60","81.25","81.48","80.88","97.73","93.24","60.87","80.95","60.98","85.71","100","100","100","100","75","100","70","100","96","100","28.57","88.89","72.22","50","50","75","57.14","75","84.21","81.82","33.33","83.33","73.42","88.96","66.67","50","37.5","100","50","76.92","75","55.56","45.05","93.33","87.5","87.5","100","88.89","100","100","100","0","100","100","80","50","100","25","0"
"A few (1-25%)","13.03","65.22","10.53","20","10.42","3.7","7.37","1.14","1.35","22.83","4.76","25.14","14.29","0","0","0","0","0","0","20","0","0","0","57.14","3.7","11.11","25","50","0","14.29","16.67","15.79","0","33.33","16.67","13.92","3.9","0","25","25","0","50","0","0","5.56","35.16","0","0","12.5","0","0","0","0","0","100","0","0","0","16.67","0","25","33.33"
"NC","9.54","18.84","5.26","20","8.33","14.81","9.91","1.14","4.05","15.22","14.29","11.56","0","0","0","0","0","25","0","10","0","4","0","0","7.41","0","25","0","25","28.57","8.33","0","18.18","33.33","0","12.66","6.79","33.33","25","37.5","0","0","23.08","25","27.78","14.29","6.67","6.25","0","0","11.11","0","0","0","0","0","0","20","33.33","0","0","0"
"Some (26-50%)","1.59","2.9","0","0","0","0","1.15","0","0","1.09","0","2.31","0","0","0","0","0","0","0","0","0","0","0","14.29","0","16.67","0","0","0","0","0","0","0","0","0","0","0.34","0","0","0","0","0","0","0","11.11","4.95","0","6.25","0","0","0","0","0","0","0","0","0","0","0","0","50","66.67"
